title,mediaType,eps,ongoing,startYr,finishYr,sznOfRelease,studios,tags,contentWarn,watched,watching,dropped,rating,votes,duration
Shura no Toki: Age of Chaos,TV,26,FALSE,2004,2004,Spring,['Studio Comet'],"['Shounen', 'Feudal Japan', 'Martial Arts', 'Samurai', 'Tournaments', 'Based on a Manga']",[],2989,244,223,4.066,2280,
Devilman: Crybaby,Web,10,FALSE,2018,2018,Winter,['Science SARU'],"['Action', 'Horror', 'Demons', 'Lifestyle Change', 'Supernatural', 'Based on a Manga']","['Animal Abuse', 'Drug Use', 'Explicit Sex', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse']",14770,1091,876,4.065,11426,
Ranma 1/2 OVA,OVA,6,FALSE,1993,1994,,['Studio Deen'],"['Comedy', 'Harem', 'Shounen', 'Christmas', 'Gender Bender', 'Martial Arts', 'Tsundere', 'Based on a Manga']",[],7183,117,65,4.065,3949,5
Pokemon Generations,Web,18,FALSE,2016,2017,Summer,['OLM'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Elemental Powers', 'Episodic', 'Monsters', 'Proxy Battles', 'Short Episodes', 'Based on a Video Game']",[],2877,259,58,4.065,1867,105
Dragon Ball Z Movie 14: Battle of Gods,Movie,1,FALSE,2013,2013,,['Toei Animation'],"['Action', 'Comedy', 'Shounen', 'Aliens', 'Gods', 'Hand to Hand Combat', 'Martial Arts', 'Non-Human Protagonists', 'Superpowers', 'Based on a Manga']",[],15502,88,20,4.064,9868,
"Love, Chunibyo & Other Delusions: Heart Throb",TV,12,FALSE,2014,2014,Winter,['Kyoto Animation'],"['Comedy', 'Drama', 'Romance', 'Childhood Friends', 'School Life', 'Based on a Light Novel']",[],16766,1123,454,4.064,12699,
Saint Seiya: The Hades Chapter - Inferno,OVA,12,FALSE,2005,2005,,['Toei Animation'],"['Action', 'Fantasy', 'Sci Fi', 'Shounen', 'Hand to Hand Combat', 'Power Suits', 'Superpowers']",['Violence'],4577,133,63,4.064,2718,
Rozen Maiden: Träumend,TV,12,FALSE,2005,2006,Fall,['Nomad'],"['Fantasy', 'Seinen', 'Based on a Manga']",[],11824,366,203,4.064,7918,
Akagi,TV,26,FALSE,2005,2006,Fall,['MADHOUSE'],"['Seinen', 'Board Games', 'Gambling', 'Gangs', 'High Stakes Games', 'Historical', 'Mahjong', 'Mind Games', 'Overpowered Main Characters', 'Psychological', 'Thriller', 'Yakuza', 'Based on a Manga']",['Violence'],5877,475,503,4.063,4564,
Minami-ke Betsubara,OVA,1,FALSE,2009,2009,,['asread'],"['Comedy', 'Seinen', 'Slice of Life', 'Gag', 'Siblings', '""Valentines Day""', 'Based on a Manga']",[],3716,46,24,4.063,2446,
Digimon Adventure Tri. Movie 1: Reunion,Movie,1,FALSE,2015,2015,,['Toei Animation'],"['Action', 'Drama', 'Sci Fi', 'Monsters']",[],4807,129,51,4.061,3205,
Seitokai Yakuindomo,TV,13,FALSE,2010,2010,Summer,['GoHands'],"['Comedy', 'Shounen', 'Crude', 'Newly Co-ed School', 'Parody', 'Satire', 'School Life', 'Student Council', 'Based on a 4-Koma Manga', 'Based on a Manga']",['Sexual Content'],19641,1762,1292,4.062,15559,100
Death Note Rewrite 2: L's Successors,TV Special,1,FALSE,2008,2008,,['MADHOUSE'],"['Mystery,MindGames']",[],16425,179,113,4.062,9557,87
