title,mediaType,eps,ongoing,startYr,finishYr,sznOfRelease,studios,tags,contentWarn,watched,watching,dropped,rating,votes,duration
Kase-san and Morning Glories,OVA,1,FALSE,2018,2018,,['Zexcs'],"['GL', 'Romance', 'Shoujo-ai', 'Opposites Attract', 'School Life', 'Based on a Manga']",[],1527,78,17,4.247,1124,
"Welcome to Demon School, Iruma-kun",TV,23,FALSE,2019,2020,Fall,['BN Pictures'],"['Comedy', 'Shounen', 'Demons', 'Monster School', 'Person in a Strange World', 'School Life', 'Supernatural', 'Based on a Manga']",[],4183,3274,315,4.246,4112,
Saezuru Tori wa Habatakanai: The Clouds Gather,Movie,1,FALSE,2020,2020,,['GRIZZLY'],"['BL', 'Drama', 'Romance', 'Yaoi', 'Adult Couples', 'Bodyguards', 'Boss-Employee Relationship', 'Criminals', 'Gangs', 'Mature Romance', 'Yakuza', 'Based on a Manga']",[],36,44,1,4.216,16,
Detective Conan Movie 16: The Eleventh Striker,Movie,1,FALSE,2012,2012,,['TMS Entertainment'],"['Action', 'Mystery', 'Shounen', 'Sports', 'Age Transformation', 'Detectives', 'Soccer', 'Terrorism', 'Thriller', 'Based on a Manga']",[],2958,20,13,4.247,1667,
Alderamin on the Sky,TV,13,FALSE,2016,2016,Summer,['MADHOUSE'],"['Action', 'Fantasy', 'Seinen', 'Guns', 'Military', 'War', 'Based on a Light Novel']",[],12277,1197,493,4.246,9322,
The Seven Deadly Sins Movie: Prisoners of the Sky,Movie,1,FALSE,2018,2018,,['A-1 Pictures'],"['Action', 'Adventure', 'Fantasy', 'Shounen', 'Angels', 'Demons', 'Island', 'Magic', 'Medieval', 'Non-Human Protagonists', 'Overpowered Main Characters', 'Based on a Manga']",['Violence'],9076,261,26,4.246,5358,
Baby Steps,TV,25,FALSE,2014,2014,Spring,['Studio Pierrot'],"['Shounen', 'Sports', 'School Life', 'Tennis', 'Tournaments', 'Based on a Manga']",[],5268,632,354,4.244,4231,
Broken Blade Movie 1: The Time of Awakening,Movie,1,FALSE,2010,2010,,"['Production I.G', 'XEBEC']","['Action', 'Fantasy', 'Mecha', 'Magic', 'Military', 'War']",[],9929,483,74,4.244,6909,
Overlord: Fushisha no Ou,Movie,1,FALSE,2017,2017,Spring,['MADHOUSE'],"['Action', 'Adventure', 'Fantasy', 'Dark Fantasy', 'Magic', 'Overpowered Main Characters', 'Person in a Strange World', 'Recap', 'RPG', 'Skeletons', 'Trapped in a Video Game', 'Virtual Reality', 'Based on a Light Novel']",['Violence'],3329,143,43,4.241,1847,24
Natsume's Book of Friends: Nyanko-sensei & The First Errand,OVA,1,FALSE,2013,2013,Winter,[],"['Drama', 'Shoujo', 'Slice of Life', 'Bodyguards', 'Cats', 'Childcare', 'Countryside', 'Forest', 'Iyashikei', 'Japanese Mythology', 'Non-Human Protagonists', 'Supernatural', 'Youkai', 'Based on a Manga']",[],3253,55,23,4.244,2122,
Kishibe Rohan wa Ugokanai: Zange-shitsu,OVA,1,FALSE,2020,2020,,['David Production'],"['Horror', 'Mystery', 'Shounen', 'Europe', 'Italy', 'Revenge', 'Supernatural', 'Based on a Manga']",['Explicit Violence'],205,__,1,4.243,125,
Baki: The Great Raitai Tournament Saga,Web,13,FALSE,2020,2020,Spring,['TMS Entertainment'],"['Action', 'Shounen', 'Sports', 'Hand to Hand Combat', 'Martial Arts', 'Tournaments', 'Based on a Manga']",['Explicit Violence'],546,103,4,4.233,374,
Neon Genesis Evangelion: The End of Evangelion,Movie,1,FALSE,1997,1997,,"['Gainax', 'Production I.G']","['Mecha', 'Military', 'Post-apocalyptic', 'Psychological', 'Super Robot', 'Original Work']","['Nudity', 'Violence']",38447,164,112,4.243,25791,
Wu Geng Ji 2nd Season,Web,42,FALSE,2017,2018,Winter,[],"['Action', 'Fantasy', 'Ancient China', 'Chinese Animation', 'Based on a Manga', 'CG Animation']",[],196,71,8,4.243,132,
One Piece: Episode of East Blue,TV Special,1,FALSE,2017,2017,Spring,['Toei Animation'],"['Adventure', 'Fantasy', 'Shounen', 'Pirates', 'Recap', 'Superpowers', 'Based on a Manga']",[],2130,64,5,4.243,1142,78
Perfect Blue,Movie,1,FALSE,1997,1997,,['MADHOUSE'],"['Horror', 'Acting', 'Idols', 'Noir', 'Psychological', 'Showbiz', 'Stalkers', 'Thriller', 'Based on a Novel']","['Explicit Sex', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse', 'Violence']",19255,208,124,4.242,14204,
Goblin Slayer,TV,12,FALSE,2018,2018,Fall,['WHITE FOX'],"['Action', 'Adventure', 'Fantasy', 'Seinen', 'Dark Fantasy', 'Guilds', 'Magic', 'Medieval', 'Monsters', 'Based on a Light Novel']","['Explicit Sex', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse']",21608,4190,1317,4.242,17326,
Aria the Origination: That Secret Little Place...,DVD Special,1,FALSE,2008,2008,,['Hal Film Maker'],"['Shounen', 'Slice of Life', 'Ocean', 'Based on a Manga']",[],1367,25,14,4.242,837,
My Teen Romantic Comedy SNAFU,TV,13,FALSE,2013,2013,Spring,[],"['Comedy', 'Drama', 'Romance', 'Seinen', 'School Club', 'School Life', 'Based on a Light Novel']",[],30194,2144,902,4.242,22984,
Sekai-ichi Hatsukoi: Valentine-hen,Movie,1,FALSE,2014,2014,,['Studio Deen'],"['BL', 'Comedy', 'Shounen-ai', 'Adult Couples', 'Romantic Comedy', 'Shorts', '""Valentines Day""', 'Yaoi Hand Syndrome', 'Based on a Manga']",[],3332,65,19,4.243,1915,
One Piece: Episode of Sabo,TV Special,1,FALSE,2015,2015,Fall,['Toei Animation'],"['Action', 'Adventure', 'Shounen', 'Island', 'Pirates', 'Superpowers', 'Based on a Manga']",[],3604,66,12,4.241,2074,
The Cat Returns,Movie,1,FALSE,2002,2002,,['Studio Ghibli'],"['Fantasy', 'Animal Protagonists', 'Animal Transformation', 'Anthropomorphic', 'Cats', 'Contemporary Fantasy', 'Family Friendly', 'Non-Human Protagonists', 'Based on a Manga']",[],26593,116,47,4.24,18566,
Phantom: Requiem for the Phantom,TV,26,FALSE,2009,2009,Spring,['BEE TRAIN'],"['Action', 'Amnesia', 'Assassins', 'Criminals', 'Gangs', 'Guns', 'Psychological', 'Based on a Visual Novel']","['Nudity', 'Violence']",15631,1749,1190,4.24,12946,
Girls und Panzer: Saishuushou,Movie,1,FALSE,2017,2017,,['Actas'],"['Action', 'Military', 'Military School', 'School Club', 'School Life', 'Tournaments', 'Original Work']",[],724,56,8,4.241,481,
Neon Genesis Evangelion,TV,26,FALSE,1995,1996,Fall,"['Gainax', 'Tatsunoko Production']","['Mecha', 'Sci Fi', 'Conspiracy', 'Kaijuu', 'Loneliness', 'Melancholy', 'Military', 'Monsters', 'Post-apocalyptic', 'Psychological', 'Super Robot', 'Original Work']","['Emotional Abuse', 'Explicit Violence', 'Mature Themes']",65113,3568,2280,4.239,49367,
Liz and the Blue Bird,Movie,1,FALSE,2018,2018,,['Kyoto Animation'],"['Music', 'School Club', 'Based on a Novel']",[],1048,58,15,4.235,815,
The Last: Naruto the Movie,Movie,1,FALSE,2014,2014,Fall,['Studio Pierrot'],"['Action', 'Fantasy', 'Romance', 'Shounen', 'Hand to Hand Combat', 'Martial Arts', 'Ninja', 'Based on a Manga']",[],19028,351,43,4.238,12159,
Pokemon: The Origin,TV Special,4,FALSE,2013,2013,,"['XEBEC', 'OLM', 'Production I.G']","['Action', 'Adventure', 'Fantasy', 'Shounen', 'Elemental Powers', 'Monsters', 'Proxy Battles', 'Based on a Video Game']",[],11741,209,104,4.237,8018,
Doupo Cangqiong 3rd Season,Web,12,FALSE,2019,2019,,['Foch'],"['Action', 'Chinese Animation', 'Xianxia', 'Based on a Novel', 'CG Animation']",[],198,56,4,4.208,130,
Saiyuki Gaiden,OVA,3,FALSE,2011,2012,Spring,['Anpro'],"['Action', 'Fantasy', 'Journey to the West', 'Based on a Manga']",[],992,96,33,4.237,593,
xxxHOLiC Movie: A Midsummer Night's Dream,Movie,1,FALSE,2005,2005,Winter,['Production I.G'],"['Seinen', 'Japanese Mythology', 'Supernatural', 'Based on a Manga']",[],9813,102,47,4.237,6359,
Magical Girl Lyrical Nanoha The MOVIE 1st,Movie,1,FALSE,2010,2010,,['Seven Arcs'],"['Action', 'Fantasy', 'Magical Girl', 'Contemporary Fantasy', 'Henshin Heroes', 'Magic', 'Recap', 'Urban Fantasy']","['Mature Themes', 'Domestic Abuse']",2582,33,20,4.237,1716,
Tamako Love Story,Movie,1,FALSE,2014,2014,,['Kyoto Animation'],"['Romance', 'Slice of Life', 'Love Confession', 'Original Work']",[],6785,181,77,4.236,4816,
Seraph of the End: Battle in Nagoya,TV,12,FALSE,2015,2015,Fall,['Wit Studio'],"['Action', 'Drama', 'Horror', 'Shounen', 'Demons', 'Pandemic', 'Post-apocalyptic', 'Supernatural', 'Vampires', 'Based on a Manga']",['Violence'],23114,1548,319,4.236,16375,
Yuri!!! on Ice: Welcome to The Madness,DVD Special,1,FALSE,2017,2017,,['Mappa'],"['Sports', 'Ice Skating', 'Original Work']",[],3277,82,21,4.238,222,
Kill La Kill,TV,24,FALSE,2013,2014,Fall,['Studio Trigger'],"['Action', 'Comedy', 'Ecchi', 'Sci Fi', 'Aliens', 'Animeism', 'Conspiracy', 'Rebellions', 'School Life', 'Superpowers', 'Swordplay', 'Original Work']",['Violence'],40331,5679,3972,4.235,34471,
Hanasaku Iroha: Home Sweet Home,Movie,1,FALSE,2013,2013,,['P.A. Works'],"['Drama', 'Romance', 'Slice of Life', 'Coming of Age', 'Countryside', 'Hotels and Inns', 'Work Life']",[],3118,87,36,4.235,2247,
Lupin III: Castle Of Cagliostro,Movie,1,FALSE,1979,1979,,['TMS Entertainment'],"['Action', 'Seinen', 'Criminals', 'Thieves', 'Based on a Manga']",[],10268,51,46,4.235,6660,
Girls' Last Tour,TV,12,FALSE,2017,2017,Fall,['WHITE FOX'],"['Adventure', 'Drama', 'Sci Fi', 'Seinen', 'Slice of Life', 'Iyashikei', 'Melancholy', 'Orphans', 'Post-apocalyptic', 'Based on a Manga']",[],3585,673,417,4.234,3257,
Kaiba,TV,12,FALSE,2008,2008,Spring,['MADHOUSE'],"['Adventure', 'Romance', 'Sci Fi', 'Abstract', 'Amnesia', 'Body Swapping', 'Dystopia', 'Original Work']",[],3460,390,353,4.233,2951,
Hellsing Ultimate: Digest for Freaks,TV Special,1,FALSE,2006,2006,,['MADHOUSE'],"['Action', 'Horror', 'Seinen', 'Recap', 'Supernatural', 'Vampires', 'Based on a Manga']",[],6589,154,49,4.232,3580,
Mobile Suit Gundam Wing: Endless Waltz Movie,Movie,1,FALSE,1998,1998,Winter,['Sunrise'],"['Mecha', 'Sci Fi', 'Outer Space']",[],14037,56,33,4.231,8248,
Dragon Ball Z Kai: The Final Chapters,TV,61,FALSE,2014,2015,Spring,['Toei Animation'],"['Action', 'Shounen', 'Hand to Hand Combat', 'Martial Arts', 'Superpowers', 'Based on a Manga']",[],6472,1293,247,4.23,4667,
Magical Girl Lyrical Nanoha A's,TV,13,FALSE,2005,2005,Fall,['Seven Arcs'],"['Fantasy', 'Magical Girl', 'Seinen', 'Contemporary Fantasy', 'Disability', 'Henshin Heroes', 'Magic', 'Urban Fantasy', 'Based on a Manga']",[],6098,na,98,4.23,4019,
Macross Frontier,TV,25,FALSE,2007,2008,Fall,['Satelight'],"['Action', 'Mecha', 'Romance', 'Sci Fi', 'Aliens', 'Idols', 'Love Triangle', 'Military', 'Music', 'Outer Space', 'Real Robot', 'Space Opera', 'Transforming Mecha', 'Original Work']",[],11560,1142,587,4.23,8790,
Code Geass: Lelouch of the Rebellion II - Transgression,Movie,1,FALSE,2018,2018,,['Sunrise'],"['Mecha', 'Sci Fi', 'Real Robot', 'Recap', 'Terrorism', 'Original Work']",['Violence'],1531,40,16,4.227,823,
Tanaka-kun is Always Listless,TV,12,FALSE,2016,2016,Spring,['SILVER LINK'],"['Comedy', 'Shoujo', 'Slice of Life', 'Iyashikei', 'School Life', 'Based on a Manga']",[],9032,1382,658,4.229,7162,
Stand by Me Doraemon,Movie,1,FALSE,2014,2014,,"['Robot', 'Shin-Ei Animation', 'Shirogumi Inc.']","['Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Cats', 'Family Friendly', 'Non-Human Protagonists', 'Robots', 'Based on a Manga', 'CG Animation']",[],1067,18,14,4.229,743,
Interviews with Monster Girls,TV,12,FALSE,2017,2017,Winter,['A-1 Pictures'],"['Comedy', 'Seinen', 'Monster Girls', 'Monsters', 'Monster School', 'School Life', 'Supernatural', 'Vampires', 'Based on a Manga']",[],10687,1131,452,4.229,8276,
Miss Kobayashi's Dragon Maid: Valentines and Hot Springs! (Please Don't Get Your Hopes Up),DVD Special,1,FALSE,2017,2017,,['Kyoto Animation'],"['Comedy', 'Fantasy', 'Seinen', 'Slice of Life', 'Animal Characteristics', 'Contemporary Fantasy', 'Dragons', 'Maids', 'Monster Girls', 'Non-Human Protagonists', 'Urban Fantasy', 'Based on a Manga']",[],5103,66,12,4.229,3169,70
Mobile Suit Gundam: Thunderbolt - December Sky,Movie,1,FALSE,2016,2016,Winter,['Sunrise'],"['Action', 'Mecha', 'Sci Fi', 'Seinen', 'Military', 'Psychological', 'War', 'Based on a Manga']","['Drug Use', 'Mature Themes', 'Violence']",691,19,11,4.228,489,
Saint Seiya: The Lost Canvas - Meiou Shinwa,OVA,13,FALSE,2009,2010,Spring,['TMS Entertainment'],"['Action', 'Fantasy', 'Sci Fi', 'Shounen', 'Europe', 'Hand to Hand Combat', 'Power Suits', 'Superpowers', 'Based on a Manga']",['Violence'],3936,432,141,4.228,2909,
Sword Art Online Movie: Ordinal Scale,Movie,1,FALSE,2017,2017,Fall,['A-1 Pictures'],"['Action', 'MMORPG', 'Overpowered Main Characters', 'Person in a Strange World', 'PVE', 'Virtual Reality', 'Based on a Light Novel']",['Nudity'],17950,440,76,4.227,12062,
Yaoshenji 4th Season,Web,13,TRUE,2020,,,[],"['Action', 'Fantasy', 'Chinese Animation', 'Cultivation', 'Martial Arts', 'Xianxia', 'Based on a Light Novel', 'CG Animation']",[],,106,3,4.226,42,
REBORN!,TV,203,FALSE,2006,2010,Fall,['Artland'],"['Action', 'Adventure', 'Comedy', 'Shounen', 'Gangs', 'Mafia', 'Supernatural', 'Superpowers', 'Based on a Manga']",[],19510,6647,3384,4.226,20046,
Kikuo: Aishite Aishite Aishite,Music Video,1,FALSE,2015,2015,,[],['Vocaloid'],[],24,0,0,4.226,NULL,
Charlotte,TV,13,FALSE,2015,2015,Summer,['P.A. Works'],"['Comedy', 'Drama', 'Human Experimentation', 'School Life', 'Student Council', 'Supernatural', 'Superpowers', 'Original Work']",[],35069,2679,1324,4.225,26665,105
Persona 3 The Movie 4: Winter of Rebirth,Movie,1,FALSE,2016,2016,,['A-1 Pictures'],"['Fantasy', 'Supernatural', 'Based on a Video Game']",[],1464,56,12,4.225,956,99
Anohana: The Flower We Saw That Day Movie,Movie,1,FALSE,2013,2013,Winter,['A-1 Pictures'],"['Drama', 'Romance', 'Childhood Friends', 'Coming of Age', 'Ghosts', 'Recap', 'Supernatural', 'Original Work']",[],8190,146,67,4.224,5513,5
Out of Sight,Web,1,FALSE,2010,2010,Summer,[],"['Adventure', 'Disability', 'Family Friendly', 'Shorts']",[],956,5,5,4.225,680,
Hidamari Sketch: Sae Hiro Sotsugyou-hen,OVA,2,FALSE,2013,2013,,['Shaft'],"['Seinen', 'Slice of Life', 'Art', 'Art School', 'Boarding House', 'Neighbors', 'School Life', 'Based on a 4-Koma Manga', 'Based on a Manga']",[],502,10,4,4.224,353,
Transformers: The Movie,Movie,1,FALSE,1986,1986,,['Toei Animation'],"['Action', 'Mecha', 'Sci Fi', 'Combining Mecha', 'Non-Human Protagonists', 'Super Robot', 'Transforming Mecha']",[],532,6,5,4.224,336,
Stars Align,TV,12,FALSE,2019,2019,Fall,['8-Bit'],"['Drama', 'Sports', 'Coming of Age', 'LGBT Themes', 'School Club', 'Tennis', 'Original Work']","['Bullying', 'Emotional Abuse', 'Mature Themes', 'Physical Abuse', 'Domestic Abuse']",2006,663,129,4.224,1723,
Yuru Yuri San☆Hai!,TV,12,FALSE,2015,2015,Fall,['TYO Animations'],"['Comedy', 'GL', 'Seinen', 'Shoujo-ai', 'Slice of Life', 'School Club', 'School Life', 'Based on a Manga']",[],3219,315,95,4.222,2512,
Hanasaku Iroha,TV,26,FALSE,2011,2011,Spring,['P.A. Works'],"['Drama', 'Romance', 'Slice of Life', 'Coming of Age', 'Countryside', 'Coworkers', 'Hotels and Inns', 'Lifestyle Change', 'Work Life', 'Original Work']","['Mature Themes', 'Physical Abuse', 'Domestic Abuse']",11351,1818,967,4.223,10152,
Code Geass: Lelouch of the Rebellion R2 Special Edition - Zero Requiem,OVA,1,FALSE,2009,2009,,['Sunrise'],"['Mecha', 'Sci Fi', 'Real Robot', 'Recap']",[],6471,68,53,4.222,3300,24
Magic Kaito,TV Special,12,FALSE,2010,2012,Winter,['TMS Entertainment'],"['Action', 'Comedy', 'Drama', 'Shounen', 'Thieves', 'Based on a Manga']",[],2670,1006,175,4.222,2375,
Slayers Try,TV,26,FALSE,1997,1997,Spring,['E.G. Films'],"['Action', 'Adventure', 'Fantasy', 'Medieval', 'Based on a Light Novel']",[],8212,151,101,4.222,5153,
Detective Conan Movie 1: The Time Bombed Skyscraper,Movie,1,FALSE,1997,1997,,['TMS Entertainment'],"['Action', 'Mystery', 'Shounen', 'Age Transformation', 'Detectives', 'Thriller', 'Based on a Manga']",['Violence'],7747,72,18,4.221,4357,
Haré+Guu DELUXE,OVA,6,FALSE,2002,2003,Winter,['Shin-Ei Animation'],"['Comedy', 'Shounen', 'Slice of Life', 'Forest', 'Gag', 'Jungle', 'Overpowered Main Characters', 'Parody', 'Based on a Manga']",[],2307,56,49,4.221,1546,
Ascendance of a Bookworm OVA,OVA,2,FALSE,2020,2020,,['Ajia-do'],"['Fantasy', 'Cheats', 'Isekai', 'Magic', 'Medieval', 'Modern Knowledge', 'Person in a Strange World', 'Reincarnation', 'Short Episodes', 'Based on a Light Novel']",[],1172,75,NA,4.223,732,
The Millionaire Detective - Balance:Unlimited,TV,2,TRUE,2020,,Spring,['CloverWorks'],"['Action', 'Comedy', 'Drama', 'Detectives', 'noitaminA', 'Based on a Novel']",[],,3133,89,4.223,1028,
Outlaw Star,TV,26,FALSE,1998,1998,Winter,['Sunrise'],"['Action', 'Adventure', 'Comedy', 'Sci Fi', 'Seinen', 'Mercenaries', 'Outer Space', 'Based on a Manga']",['Nudity'],19142,923,752,4.22,14216,101
Final Fantasy VII: Advent Children,Movie,1,FALSE,2005,2005,,['Visual Works'],"['Action', 'Fantasy', 'Martial Arts', 'Swordplay', 'Based on a Video Game', 'CG Animation']",[],54935,121,112,4.22,37071,14
IDOLiSH7: Vibrato,Web,8,FALSE,2018,2019,Winter,['TROYCA'],"['Idols', 'Music', 'Showbiz']",[],281,156,18,4.221,210,
Ponyo on the Cliff by the Sea,Movie,1,FALSE,2008,2008,Fall,['Studio Ghibli'],"['Fantasy', 'Contemporary Fantasy', 'Family Friendly', 'Magic', 'Mermaids', 'Non-Human Protagonists', 'Ocean', 'Original Work']",[],35135,174,70,4.22,24221,
Haikyuu!! Movie 2: Shousha to Haisha,Movie,1,FALSE,2015,2015,,['Production I.G'],"['Shounen', 'Sports', 'Recap', 'School Club', 'School Life', 'Tournaments', 'Volleyball', 'Based on a Manga']",[],1908,84,10,4.219,915,
D.Gray-man,TV,103,FALSE,2006,2008,Fall,['TMS Entertainment'],"['Action', 'Adventure', 'Shounen', 'Afterlife', 'Demons', 'Europe', 'Supernatural', 'Superpowers', 'Based on a Manga']","['Animal Abuse', 'Mature Themes', 'Violence']",35282,9784,5201,4.219,34714,99
Detective Conan Movie 2: The Fourteenth Target,Movie,1,FALSE,1998,1998,,['TMS Entertainment'],"['Mystery', 'Shounen', 'Age Transformation', 'Detectives', 'Based on a Manga']",[],7066,42,20,4.219,3904,
Blast of Tempest,TV,24,FALSE,2012,2013,Fall,['Bones'],"['Adventure', 'Drama', 'Mystery', 'Romance', 'Shounen', 'Animeism', 'Conspiracy', 'Island', 'Magic', 'Revenge', 'Based on a Manga']",[],18588,2525,1373,4.217,15535,
The Garden of Sinners Movie 1: Thanatos. (Overlooking View),Movie,1,FALSE,2007,2007,,['ufotable'],"['Action', 'Mystery', 'Overpowered Main Characters', 'Supernatural', 'Based on a Light Novel']","['Mature Themes', 'Suicide']",14454,1382,237,4.218,11667,
Junjou Romantica,TV,12,FALSE,2008,2008,Spring,['Studio Deen'],"['BL', 'Comedy', 'Drama', 'Romance', 'Shounen-ai', 'Age Gap', 'Cohabitation', 'LGBT Themes', 'Romantic Comedy', 'Writers', 'Yaoi Hand Syndrome', 'Based on a Manga']",['Sexual Content'],21864,1699,919,4.218,15459,
"Clannad: Another World, Kyou Chapter",DVD Special,1,FALSE,2009,2009,,['Kyoto Animation'],"['Drama', 'Romance', 'Based on a Visual Novel']",[],23245,81,65,4.217,16075,
Doupo Cangqiong Specials,TV Special,2,FALSE,2017,2017,,['Foch'],"['Action', 'Fantasy', 'Chinese Animation', 'Xianxia', 'Based on a Novel', 'CG Animation']",[],321,51,7,4.191,206,
Glass Mask (2005),TV,51,FALSE,2005,2006,Spring,['TMS Entertainment'],"['Drama', 'Romance', 'Shoujo', 'Acting', 'Showbiz', 'Work Life', 'Based on a Manga']",[],2462,327,252,4.216,1985,
Saint Seiya: The Hades Chapter - Sanctuary,OVA,13,FALSE,2002,2003,,['Toei Animation'],"['Action', 'Fantasy', 'Sci Fi', 'Shounen', 'Hand to Hand Combat', 'Power Suits', 'Superpowers']",['Violence'],4956,135,61,4.216,2955,
Hakuouki Movie 2: Warrior Spirit of the Blue Sky,Movie,1,FALSE,2014,2014,,['Studio Deen'],"['Action', 'Drama', 'Reverse Harem', 'Feudal Japan', 'Historical', 'Samurai', 'Based on an Otome Game', 'Based on a Visual Novel']",[],1471,31,20,4.217,865,
Ghost Hunt,TV,25,FALSE,2006,2007,Fall,['J.C. Staff'],"['Horror', 'Shoujo', 'Curse', 'Detectives', 'Ghost Hunters', 'Supernatural', 'Based on a Light Novel']",[],18224,1227,1008,4.215,14247,
Cardcaptor Sakura: The Movie 2: The Sealed Card,Movie,1,FALSE,2000,2000,,['MADHOUSE'],"['Fantasy', 'Magical Girl', 'Romance', 'Shoujo', 'Family Friendly', 'Henshin Heroes', 'Magic', 'Based on a Manga']",[],15181,69,43,4.215,8875,
Nodame Cantabile: Finale Special,DVD Special,1,FALSE,2010,2010,,['J.C. Staff'],"['Comedy', 'Josei', 'Romance', 'Classical Music', 'Europe', 'Music', 'Based on a Manga']",[],3831,28,15,4.215,2377,
Baka and Test - Summon the Beasts 2,TV,13,FALSE,2011,2011,Summer,['SILVER LINK'],"['Comedy', 'Chibi', 'Magic', 'Magic School', 'School Life', 'Based on a Light Novel']",[],20472,1089,350,4.215,14578,
Recovery of an MMO Junkie,TV,10,FALSE,2017,2017,Fall,['Signal.MD'],"['Comedy', 'Romance', 'Adult Couples', 'Mature Romance', 'MMORPG', 'NEET', 'Romantic Comedy', 'RPG', 'Based on a Manga']",[],13359,1473,533,4.214,10223,
Aria the OVA: Arietta,OVA,1,FALSE,2007,2007,,['Hal Film Maker'],"['Shounen', 'Slice of Life', 'Ocean', 'Based on a Manga']",[],2386,36,36,4.214,1515,
New Game!!,TV,12,FALSE,2017,2017,Summer,['Doga Kobo'],"['Comedy', 'Seinen', 'Coworkers', 'Iyashikei', 'Video Game Industry', 'Work Life', 'Based on a 4-Koma Manga', 'Based on a Manga']",[],5118,650,177,4.214,3965,
Hikaru no Go: Journey to the North Star Cup,TV Special,1,FALSE,2004,2004,,['Studio Pierrot'],"['Shounen', 'Board Games', 'Ghosts', 'Supernatural', 'Tournaments', 'Based on a Manga']",[],2087,29,18,4.213,1267,
Fate/Kaleid Liner Prisma Illya Movie: Vow in the Snow,Movie,1,FALSE,2017,2017,,['SILVER LINK'],"['Action', 'Fantasy', 'Shounen', 'Contemporary Fantasy', 'Magic', 'Superpowers', 'Urban Fantasy', 'Based on a Manga']",['Violence'],1197,49,12,4.214,836,
Knights of Sidonia: Battle for Planet Nine,TV,12,FALSE,2015,2015,Spring,['Polygon Pictures'],"['Action', 'Adventure', 'Horror', 'Mecha', 'Sci Fi', 'Seinen', 'Aliens', 'Animeism', 'Outer Space', 'Post-apocalyptic', 'Real Robot', 'Based on a Manga', 'CG Animation']",['Violence'],5594,474,152,4.213,4444,
Planetarian Movie: Hoshi no Hito,Movie,1,FALSE,2016,2016,,['David Production'],"['Sci Fi', 'Androids', 'Astronomy', 'Dystopia', 'Non-Human Protagonists', 'Post-apocalyptic', 'Robots', 'Based on a Visual Novel']",[],728,41,16,4.213,518,
Little Witch Academia,Movie,1,FALSE,2013,2013,,['Studio Trigger'],"['Fantasy', 'Anime Tamago', 'Dungeon', 'Magic', 'Magic School', 'School Life', 'Witches', 'Original Work']",[],13724,253,106,4.212,9648,
Poco's Udon World,TV,12,FALSE,2016,2016,Fall,['LIDEN FILMS'],"['Seinen', 'Slice of Life', 'Animal Characteristics', 'Animal Transformation', 'Countryside', 'Family Life', 'Iyashikei', 'Japanese Mythology', 'Lifestyle Change', 'Non-Human Protagonists', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga']",[],3832,669,288,4.212,3083,
Re:ZERO -Starting Life in Another World- The Frozen Bonds,Movie,1,FALSE,2019,2019,,['WHITE FOX'],"['Fantasy', 'Seinen', 'Forest', 'Loneliness', 'Magic', 'Melancholy', 'Monsters', 'Non-Human Protagonists', 'Based on a Light Novel']",['Violence'],1251,114,7,4.206,807,
Den-noh Coil,TV,26,FALSE,2007,2007,Spring,['MADHOUSE'],"['Sci Fi', 'Slice of Life', 'Virtual Reality', 'Original Work']",[],6217,898,717,4.211,5609,
Kino's Journey: Life Goes On,Movie,1,FALSE,2005,2005,,['A.C.G.T.'],"['Adventure', 'Drama', 'Fantasy', 'Coming of Age', 'Melancholy', 'Motorcycles', 'Based on a Light Novel']",['Violence'],3997,68,34,4.211,2746,
Tsukigakirei,TV,12,FALSE,2017,2017,Spring,['feel.'],"['Romance', 'Coming of Age', 'Love Triangle', 'School Life', 'Original Work']",[],5586,816,440,4.211,4683,
Full Metal Panic! The Second Raid: A Relatively Leisurely Day in the Life of a Fleet Captain,OVA,1,FALSE,2006,2006,,['Kyoto Animation'],"['Comedy', 'Shounen', 'Military', 'Submarine', 'Tsundere']",[],19274,126,43,4.21,11974,
Detective Conan Movie 21: Kara Kurenai no Love Letter,Movie,1,FALSE,2017,2017,Winter,"['V1 Studio', 'TMS Entertainment']","['Drama', 'Mystery', 'Shounen', 'Age Transformation', 'Detectives', 'Based on a Manga']",[],1050,39,9,4.209,612,105
Toshokan Sensou: Kakumei no Tsubasa,Movie,1,FALSE,2012,2012,,['Production I.G'],"['Action', 'Comedy', 'Drama', 'Library', 'Military', 'Political', 'Based on a Light Novel']",[],1069,32,20,4.209,773,
Bungou Stray Dogs,TV,12,FALSE,2016,2016,Spring,['Bones'],"['Action', 'Mystery', 'Seinen', 'Detectives', 'Supernatural', 'Superpowers', 'Based on a Manga']",['Violence'],22799,3803,1406,4.209,17329,
91 Days,TV,12,FALSE,2016,2016,Summer,['Shuka'],"['Drama', 'America', 'Animeism', 'Criminals', 'Gangs', 'Guns', 'Historical', 'Mafia', 'Revenge', 'Thriller', 'Original Work']","['Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Sexual Content']",11527,2160,1018,4.207,9894,31
